domain	bias_rating	category	mbfc_ideo
worldviewweekend.com	right conspiracy-pseudoscience	conspiracy	1.0
x22report.com	far right	conspiracy	1.0
zerohedge.com	right conspiracy/pseudoscience	conspiracy	1.0
secondamendmentdaily.com	extreme right	fake-news	1.0
100percentfedup.com	extreme right	fake-news	1.0
24jours.com	right-center	fake-news	1.0
us24news.com	extreme right	fake-news	1.0
2020conservative.com	extreme right	fake-news	1.0
avoiceformen.com	right	fake-news	1.0
abqtimes.com	right-center	fake-news	1.0
acting-man.com	right	fake-news	1.0
elizabethjohnston.org	extreme right	fake-news	1.0
adareporter.com	right-center	fake-news	1.0
adamscountytimes.com	right-center	fake-news	1.0
english.alarabiya.net	right-center	fake-news	1.0
albanystandard.com	right-center	fake-news	1.0
albawaba.com	right-center	fake-news	1.0
allnewspipeline.com	right-center	fake-news	1.0
adflegal.org	extreme right	fake-news	1.0
english.almanar.com.lb	right-center	fake-news	1.0
almasdarnews.com	right	fake-news	1.0
alohastatenews.com	right-center	fake-news	1.0
alphanews.org	far right	fake-news	1.0
altrighttv (dot) com	extreme right	fake-news	1.0
youm7.com	right-center	fake-news	1.0
americaoutloud.com	far right	fake-news	1.0
americanactionnews.com	right	fake-news	1.0
americancatholictribune.com	right-center	fake-news	1.0
acpeds.org	far-right	fake-news	1.0
americanconservativemovement.com	far right	fake-news	1.0
afa.net	extreme right	fake-news	1.0
afn.net	far right	fake-news	1.0
americasfreedomfighters.com	extreme right	fake-news	1.0
americangulag.org	extreme right	fake-news	1.0
americanlibertyemail.com	far right	fake-news	1.0
americanlookout.com	extreme right	fake-news	1.0
americanpartisan.org	far right	fake-news	1.0
americanpatriotdaily.com	extreme right	fake-news	1.0
americanpeopledaily.com	extreme right	fake-news	1.0
americanpharmacynews.com	right-center	fake-news	1.0
americanprinciplesproject.org	extreme right	fake-news	1.0
amren.com	extreme right	fake-news	1.0
americansecuritynews.com	right-center	fake-news	1.0
tfp.org	extreme right	fake-news	1.0
americanthinker.com	extreme right	fake-news	1.0
awm.com	right	fake-news	1.0
americansfortruth.com	extreme right	fake-news	1.0
americasnewssource.com	right	fake-news	1.0
amerika.org	extreme right	fake-news	1.0
amestoday.com	right-center	fake-news	1.0
amoskeagtimes.com	left-center	fake-news	-1.0
analyzingamerica.org	extreme right	fake-news	1.0
andersonreporter.com	right-center	fake-news	1.0
annarbortimes.com	right-center	fake-news	1.0
annearundeltoday.com	right-center	fake-news	1.0
anokatimes.com	right-center	fake-news	1.0
anonymouswire.com	extreme right	fake-news	1.0
antelopevalleytoday.com	right-center	fake-news	1.0
arabnews.com	right-center	fake-news	1.0
arizonaindependent.com	left	fake-news	-1.0
arizonasuntimes.com	right	fake-news	1.0
aroostooknews.com	right-center	fake-news	1.0
athensreporter.com	right-center	fake-news	1.0
atlanticcotimes.com	right-center	fake-news	1.0
atlstandard.com	right-center	fake-news	1.0
auburntimes.com	right-center	fake-news	1.0
augustarichmondherald.com	left-center	fake-news	-1.0
baldwintimes.com	right-center	fake-news	1.0
baltimorecitywire.com	right-center	fake-news	1.0
barenakedislam.com	extreme right	fake-news	1.0
basnews.com	left	fake-news	-1.0
batonrougereporter.com	right-center	fake-news	1.0
battlecreektimes.com	right-center	fake-news	1.0
baystatenews.com	right-center	fake-news	1.0
bb4sp.com	extreme right	fake-news	1.0
en.bbarta24.net	left-center	fake-news	-1.0
