topic	word	if_reasonable_yijing
transportation	route	2.0
transportation	sailor	2.0
transportation	ship	2.0
transportation	street	2.0
healthcare	diagnostics	2.0
government_ops	va	2.0
healthcare	diagnosis	2.0
crime	kill	2.0
crime	law	2.0
crime	lawsuit	2.0
crime	lawyer	2.0
crime	legal	2.0
crime	lock	2.0
crime	mugging	2.0
crime	murder	2.0
crime	nypd	2.0
crime	order	2.0
crime	police	2.0
crime	prison	2.0
crime	prosecutor	2.0
crime	secret	2.0
crime	service	2.0
crime	sheriff	2.0
crime	shoot	1.0
crime	shooting	2.0
crime	shootings	2.0
crime	steal	2.0
crime	sue	2.0
crime	testimony	2.0
crime	unconstitutional	2.0
crime	victim	2.0
crime	violence	2.0
crime	whistleblower	2.0
culture	actor	2.0
culture	arena	2.0
culture	art	2.0
culture	author	2.0
crime	killer	1.0
crime	judge	2.0
crime	jail	2.0
crime	abuse	2.0
crime	arrest	2.0
crime	attorney	2.0
crime	committee	1.0
crime	cop	2.0
crime	cops	2.0
crime	court	2.0
crime	crime	2.0
crime	criminal	2.0
crime	death	1.0
crime	enforcement	2.0
crime	fraud	2.0
crime	frisk	2.0
crime	guilty	2.0
crime	homicide	2.0
crime	illegal	2.0
crime	imprison	2.0
crime	inmate	2.0
crime	investigate	2.0
crime	investigation	2.0
culture	band	2.0
culture	bar	2.0
culture	barber	2.0
culture	baseball	2.0
culture	store	2.0
culture	studio	2.0
culture	takeout	2.0
culture	tattoo	2.0
culture	television	2.0
culture	theater	2.0
culture	tv	2.0
culture	venue	2.0
culture	video	2.0
culture	viewer	2.0
defence	admiral	2.0
defence	aircraft	2.0
defence	army	2.0
defence	attack	2.0
defence	battle	2.0
defence	bomb	1.0
defence	bullet	2.0
defence	commander	2.0
defence	corp	2.0
defence	defense	2.0
defence	fema	2.0
defence	founder	1.0
defence	generals	2.0
defence	homeland	2.0
defence	isil	2.0
defence	isis	2.0
defence	laden	2.0
defence	military	2.0
defence	mvp	2.0
culture	stadium	2.0
culture	sport	2.0
culture	song	2.0
culture	fun	2.0
culture	basketball	2.0
culture	book	2.0
culture	broadcast	2.0
culture	camera	2.0
culture	casino	2.0
culture	ceremony	2.0
culture	club	2.0
culture	concert	2.0
culture	convention	2.0
culture	culture	2.0
culture	entertainment	2.0
culture	famous	2.0
culture	football	2.0
culture	game	2.0
culture	sing	2.0
culture	golf	2.0
culture	gym	2.0
culture	mall	2.0
culture	movie	2.0
culture	music	2.0
culture	nba	2.0
culture	novel	2.0
culture	parlor	2.0
culture	player	2.0
culture	radio	2.0
culture	restaurant	2.0
culture	shop	2.0
culture	shopping	2.0
healthcare	diagnose	2.0
civil_rights	latino	2.0
civil_rights	lives	1.0
civil_rights	minority	2.0
civil_rights	mother	1.0
civil_rights	outreach	2.0
civil_rights	privacy	2.0
civil_rights	race	1.0
